"Access","StartTime","StopTime","Duration"
249,17 Jun 2022 13:16:39.684,17 Jun 2022 13:21:28.462,288.779
250,17 Jun 2022 14:52:36.742,17 Jun 2022 14:59:09.184,392.442
251,17 Jun 2022 16:28:21.494,17 Jun 2022 16:36:06.705,465.211
252,17 Jun 2022 18:03:59.073,17 Jun 2022 18:12:07.705,488.632
253,17 Jun 2022 19:39:28.686,17 Jun 2022 19:47:14.849,466.163
254,17 Jun 2022 21:14:45.496,17 Jun 2022 21:21:42.924,417.428
255,17 Jun 2022 22:49:40.486,17 Jun 2022 22:55:58.475,377.989
256,18 Jun 2022 00:24:08.120,18 Jun 2022 00:30:30.769,382.648
257,18 Jun 2022 01:58:23.593,18 Jun 2022 02:05:30.524,426.931
258,18 Jun 2022 03:32:57.188,18 Jun 2022 03:40:50.260,473.072
259,18 Jun 2022 05:08:13.484,18 Jun 2022 05:16:21.573,488.089
260,18 Jun 2022 06:44:25.059,18 Jun 2022 06:52:00.412,455.352
261,18 Jun 2022 08:21:32.151,18 Jun 2022 08:27:46.767,374.616
262,18 Jun 2022 09:59:17.326,18 Jun 2022 10:03:47.706,270.380
263,18 Jun 2022 11:36:50.346,18 Jun 2022 11:40:30.304,219.958
264,18 Jun 2022 13:13:22.428,18 Jun 2022 13:18:10.782,288.354
265,18 Jun 2022 14:49:19.565,18 Jun 2022 14:55:51.620,392.056
266,18 Jun 2022 16:25:04.351,18 Jun 2022 16:32:49.360,465.009
267,18 Jun 2022 18:00:41.958,18 Jun 2022 18:08:50.596,488.638
268,18 Jun 2022 19:36:11.611,18 Jun 2022 19:43:57.939,466.328
269,18 Jun 2022 21:11:28.489,18 Jun 2022 21:18:26.128,417.638
270,18 Jun 2022 22:46:23.589,18 Jun 2022 22:52:41.665,378.076
271,19 Jun 2022 00:20:51.322,19 Jun 2022 00:27:13.850,382.528
272,19 Jun 2022 01:55:06.785,19 Jun 2022 02:02:13.502,426.717
273,19 Jun 2022 03:29:40.247,19 Jun 2022 03:37:33.176,472.929
274,19 Jun 2022 05:04:56.333,19 Jun 2022 05:13:04.452,488.119
275,19 Jun 2022 06:41:07.672,19 Jun 2022 06:48:43.263,455.591
276,19 Jun 2022 08:18:14.555,19 Jun 2022 08:24:29.580,375.025
277,19 Jun 2022 09:55:59.648,19 Jun 2022 10:00:30.424,270.776
278,19 Jun 2022 11:33:32.863,19 Jun 2022 11:37:12.768,219.905
279,19 Jun 2022 13:10:05.172,19 Jun 2022 13:14:53.102,287.930
280,19 Jun 2022 14:46:02.387,19 Jun 2022 14:52:34.056,391.668
281,19 Jun 2022 16:21:47.208,19 Jun 2022 16:29:32.013,464.806
282,19 Jun 2022 17:57:24.843,19 Jun 2022 18:05:33.486,488.643
283,19 Jun 2022 19:32:54.535,19 Jun 2022 19:40:41.029,466.493
284,19 Jun 2022 21:08:11.482,19 Jun 2022 21:15:09.331,417.849
285,19 Jun 2022 22:43:06.691,19 Jun 2022 22:49:24.856,378.164
286,20 Jun 2022 00:17:34.524,20 Jun 2022 00:23:56.932,382.408
287,20 Jun 2022 01:51:49.977,20 Jun 2022 01:58:56.481,426.504
288,20 Jun 2022 03:26:23.306,20 Jun 2022 03:34:16.092,472.786
289,20 Jun 2022 05:01:39.184,20 Jun 2022 05:09:47.332,488.148
290,20 Jun 2022 06:37:50.286,20 Jun 2022 06:45:26.115,455.829
291,20 Jun 2022 08:14:56.960,20 Jun 2022 08:21:12.394,375.434
292,20 Jun 2022 09:52:41.971,20 Jun 2022 09:57:13.143,271.173
293,20 Jun 2022 11:30:15.379,20 Jun 2022 11:33:55.234,219.855
294,20 Jun 2022 13:06:47.916,20 Jun 2022 13:11:35.422,287.506
295,20 Jun 2022 14:42:45.210,20 Jun 2022 14:49:16.490,391.281
296,20 Jun 2022 16:18:30.064,20 Jun 2022 16:26:14.666,464.602
297,20 Jun 2022 17:54:07.728,20 Jun 2022 18:02:16.374,488.647
298,20 Jun 2022 19:29:37.460,20 Jun 2022 19:37:24.117,466.658
299,20 Jun 2022 21:04:54.475,20 Jun 2022 21:11:52.535,418.059
300,20 Jun 2022 22:39:49.793,20 Jun 2022 22:46:08.046,378.253
301,21 Jun 2022 00:14:17.725,21 Jun 2022 00:20:40.014,382.289
302,21 Jun 2022 01:48:33.169,21 Jun 2022 01:55:39.460,426.290
303,21 Jun 2022 03:23:06.367,21 Jun 2022 03:30:59.009,472.642
304,21 Jun 2022 04:58:22.036,21 Jun 2022 05:06:30.212,488.176
305,21 Jun 2022 06:34:32.900,21 Jun 2022 06:42:08.967,456.066
306,21 Jun 2022 08:11:39.366,21 Jun 2022 08:17:55.208,375.842
307,21 Jun 2022 09:49:24.293,21 Jun 2022 09:53:55.863,271.570
308,21 Jun 2022 11:26:57.894,21 Jun 2022 11:30:37.702,219.807
